medicine_id,medicine_name,medicine_usage,medicine_dosage,medicine_time_to_take
MED011,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED012,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED013,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED014,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED015,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED016,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED017,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED018,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED019,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED020,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED021,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED022,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED023,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED024,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED025,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED026,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED027,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED028,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED029,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED030,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED031,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED032,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED033,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED034,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED035,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED036,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED037,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED038,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED039,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED040,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED041,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED042,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED043,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED044,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED045,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED046,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED047,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED048,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED049,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED050,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED051,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED052,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED053,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED054,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED055,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED056,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED057,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED058,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED059,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED060,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED061,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED062,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED063,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED064,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED065,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED066,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED067,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED068,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED069,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED070,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED071,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED072,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED073,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED074,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED075,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED076,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED077,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED078,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED079,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED080,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED081,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED082,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED083,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED084,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED085,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED086,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED087,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED088,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED089,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED090,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED091,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED092,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED093,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED094,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED095,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED096,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED097,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED098,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED099,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED100,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED101,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED102,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED103,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED104,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED105,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED106,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED107,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED108,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED109,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED110,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED111,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED112,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
MED113,Ibuprofen,"Nonsteroidal anti-inflammatory drug (NSAID) for relieving pain, reducing inflammation, and lowering fever. Used for arthritis, muscle injuries, and headaches.","1 tablet (200 mg) every 4-6 hours as needed for pain, inflammation, or fever.","As needed, depending on pain intensity, preferably with food."
MED114,Amoxicillin,"An antibiotic used to treat bacterial infections such as urinary tract infections, respiratory infections, and skin infections.","1 capsule (500 mg) every 8 hours for bacterial infections, or as prescribed by a doctor.","Every 8 hours, with food, unless otherwise directed by a physician."
MED115,Cetirizine,"Antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy eyes, and hives. Also used to treat hay fever and allergic rhinitis.","1 tablet (10 mg) once a day, preferably before bed, to relieve allergy symptoms.","Once daily, before bed, as it may cause drowsiness."
MED116,Omeprazole,"Proton pump inhibitor used to treat acid reflux, heartburn, and ulcers by reducing stomach acid production.",1 capsule (20 mg) once daily before breakfast to reduce acid production in the stomach.,"Once daily, before breakfast, for maximum effect."
MED117,Lisinopril,"An ACE inhibitor used to treat high blood pressure, heart failure, and to prevent stroke. It works by relaxing blood vessels.","1 tablet (10 mg) once daily, preferably in the morning, for high blood pressure or heart failure.","Once a day, in the morning or as prescribed."
MED118,Metformin,Oral medication used to control blood sugar levels in people with type 2 diabetes by helping the body use insulin more effectively.,1 tablet (500 mg) twice daily with meals to control blood sugar levels in diabetes.,"Twice daily, with meals, for optimal blood sugar control."
MED119,Simvastatin,Used to lower cholesterol levels by inhibiting cholesterol production in the liver. Commonly prescribed to reduce the risk of heart disease.,1 tablet (20 mg) once daily in the evening to manage cholesterol levels.,"Once daily, preferably in the evening, to minimize side effects."
MED120,Prednisolone,"Corticosteroid used to treat inflammation in conditions like asthma, allergies, arthritis, and autoimmune disorders.","1 tablet (5 mg) once daily, typically in the morning, for inflammation control.","Once daily, in the morning, with or without food."
MED121,Aspirin,"Used to relieve pain, reduce fever, and reduce inflammation. Commonly used for headaches, muscle aches, arthritis, and menstrual pain.",1 tablet (500 mg) every 4-6 hours as needed for pain relief.,"Morning and evening, with meals."
MED122,Paracetamol,"Used to treat mild to moderate pain such as headaches, toothaches, or muscle pain. Also used to reduce fever.","1 tablet (500 mg) every 4-6 hours for pain, not exceeding 4 doses in 24 hours.","Morning, after breakfast."
